Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Type,Build_year,Town,University
1,295000,42521,5,3,2020,38332.8,Single Family,1976,"Ames, IA",Iowa State University
2,240000,42541,4,2,1498,54014.4,Single Family,2002,"Ames, IA",Iowa State University
3,385000,42521,5,4,4000,85813.2,Single Family,2001,"Ames, IA",Iowa State University
4,268000,42472,3,2.5,2283,118918.8,Single Family,1972,"Ames, IA",Iowa State University
5,186000,42465,3,1.25,1527,15681.6,Single Family,1975,"Ames, IA",Iowa State University
6,302500,42431,4,3,3117,33105.6,Single Family,1976,"Ames, IA",Iowa State University
7,223000,42523,3,2,1218,25264.8,Single Family,1975,"Ames, IA",Iowa State University
8,225000,42497,3,3,3000,30056.4,Single Family,1969,"Ames, IA",Iowa State University
9,215000,42474,5,2,2963,14374.8,Single Family,1965,"Ames, IA",Iowa State University
10,285100,42412,3,4,1680,48351.6,Single Family,1987,"Ames, IA",Iowa State University
11,269000,42522,3,2,1682,43560,Single Family,1932,"Ames, IA",Iowa State University
12,650000,42523,4,3.5,2535,82764,Single Family,1998,"Ames, IA",Iowa State University
13,203500,42478,4,2,1277,10628,Single Family,1970,"Ames, IA",Iowa State University
14,265000,42549,4,2.5,1340,10290,Single Family,1998,"Ames, IA",Iowa State University
15,180000,42424,3,3.5,1709,13068,Single Family,1991,"Ames, IA",Iowa State University
16,192000,42429,3,3,1470,8139,Single Family,1995,"Ames, IA",Iowa State University
17,246500,42452,4,3.5,1776,8712,Single Family,1996,"Ames, IA",Iowa State University
18,258000,42535,4,2.5,1752,9174,Single Family,1996,"Ames, IA",Iowa State University
19,240500,42446,3,2.25,1502,6821,Single Family,1985,"Ames, IA",Iowa State University
20,218000,42552,2,3.25,1864,28749.6,Single Family,1978,"Ames, IA",Iowa State University
21,249000,42510,3,2.25,1381,13939.2,Single Family,1983,"Ames, IA",Iowa State University
22,246000,42545,3,2.75,1969,11761.2,Single Family,1977,"Ames, IA",Iowa State University
23,264000,42489,3,2,1660,13068,Single Family,1979,"Ames, IA",Iowa State University
24,180000,42566,3,3,1277,10140,Single Family,1975,"Ames, IA",Iowa State University
25,196000,42464,4,3,1768,10000,Single Family,1973,"Ames, IA",Iowa State University
26,262000,42536,3,1.75,1650,14374.8,Single Family,1900,"Ames, IA",Iowa State University
27,138000,42500,3,1,845,8712,Single Family,1970,"Ames, IA",Iowa State University
28,143500,42500,2,1,858,7340,Single Family,1971,"Ames, IA",Iowa State University
29,122000,42500,2,2,987,1680,Single Family,1972,"Ames, IA",Iowa State University
