Record,Sale_amount,Sale_date,Beds,Baths,Sqft_home,Sqft_lot,Build_year,Town,University
2430,680000,42541,3,3,2781,33541.2,1995,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2431,672500,42530,4,3,3368,32234.4,1992,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2432,1004000,42530,4,5,5251,50529.6,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2433,239000,42468,4,3,1952,13068,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2434,295000,42508,4,2.5,2006,20037.6,1972,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2435,188000,42460,3,3,1824,20037.6,1970,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2436,145000,42514,3,2,1367,15681.6,1956,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2437,299900,42524,4,4,3355,19166.4,1980,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2438,320000,42447,3,2.5,2422,14374.8,1986,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2439,310000,42522,3,2,1664,12196.8,1997,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2440,325000,42488,3,2,1953,26136,1984,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2441,285000,42510,3,2,1701,16552.8,1982,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2442,301500,42517,3,2.5,2089,14374.8,1987,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2443,395000,42460,3,4,2652,16988.4,1983,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2444,357000,42453,4,3,2328,9148,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2445,360000,42541,4,3.5,2799,8929,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2446,275000,42528,4,2.5,1899,7449,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2447,280000,42537,4,2.5,2300,9147,1988,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2448,380000,42460,4,2.5,2752,9148,1989,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2449,311000,42502,4,2.5,1854,6969,1990,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2450,165000,42489,2,3,1471,1742,1989,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2451,289500,42514,3,2.5,2150,8712,1993,"Chapel Hill, NC",University of North Carolina at Chapel Hill
2452,245000,42478,4,3,2312,8755,1996,"Chapel Hill, NC",University of North Carolina at Chapel Hill
