Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Area,Balance
14.891,3606,283,2,34,Some HS,Male,No,Yes,Urban,333
106.025,6645,483,3,82,Some College,Female,Yes,Yes,Suburban,903
104.593,7075,514,4,71,Some HS,Male,No,No,Suburban,580
148.924,9504,681,3,36,Some HS,Female,No,No,Suburban,964
55.882,4897,357,2,68,College,Male,No,Yes,Urban,331
80.18,8047,569,4,77,Some HS,Male,No,No,Urban,1151
20.996,3388,259,2,37,HS,Female,No,No,Rural,403
71.408,7114,512,2,87,Some HS,Male,No,No,Suburban,872
15.125,3300,266,5,66,Some College,Female,No,No,Urban,279
71.061,6819,491,3,41,Post Grad,Female,Yes,Yes,Rural,1350
63.095,8117,589,4,30,Some College,Male,No,Yes,Urban,1407
15.045,1311,138,3,64,College,Male,No,No,Urban,0
80.616,5308,394,1,57,Some HS,Female,No,Yes,Suburban,204
43.682,6922,511,1,49,Some HS,Male,No,Yes,Urban,1081
19.144,3291,269,2,75,Some College,Female,No,No,Rural,148
20.089,2525,200,3,57,Some College,Female,No,Yes,Rural,0
53.598,3714,286,3,73,Post Grad,Female,No,Yes,Rural,0
36.496,4378,339,3,69,Some College,Female,No,Yes,Suburban,368
49.57,6384,448,1,28,Some HS,Female,No,Yes,Suburban,891
42.079,6626,479,2,44,Some HS,Male,No,No,Suburban,1048
17.7,2860,235,4,63,College,Female,No,No,Suburban,89
37.348,6378,458,1,72,Post Grad,Female,No,No,Urban,968
20.103,2631,213,3,61,Some HS,Male,No,Yes,Rural,0
64.027,5179,398,5,48,Some HS,Male,No,Yes,Rural,411
10.742,1757,156,3,57,Some College,Female,No,No,Urban,0
14.09,4323,326,5,25,College,Female,No,Yes,Rural,671
42.471,3625,289,6,44,HS,Female,Yes,No,Urban,854
32.793,4534,333,2,44,College,Male,No,No,Rural,467
186.634,13414,949,2,41,Some College,Female,No,Yes,Rural,1809
26.813,5611,411,4,55,College,Female,No,No,Urban,915
34.142,5666,413,4,47,Some HS,Female,No,Yes,Urban,863
28.941,2733,210,5,43,College,Male,No,Yes,Suburban,0
134.181,7838,563,2,48,Some College,Female,No,No,Urban,526
31.367,1829,162,4,30,Some HS,Male,No,Yes,Urban,0
20.15,2646,199,2,25,Some College,Female,No,Yes,Suburban,0
23.35,2558,220,3,49,HS,Female,Yes,No,Urban,619
62.413,6457,455,2,71,Some HS,Female,No,Yes,Urban,762
30.007,6481,462,2,69,Some HS,Female,No,Yes,Urban,1093
11.795,3899,300,4,25,Some HS,Female,No,No,Urban,531
13.647,3461,264,4,47,Some College,Male,No,Yes,Urban,344
34.95,3327,253,3,54,Some College,Female,No,No,Rural,50
113.659,7659,538,2,66,Some College,Male,Yes,Yes,Rural,1155
44.158,4763,351,2,66,Some College,Female,No,Yes,Suburban,385
36.929,6257,445,1,24,Some College,Female,No,Yes,Suburban,976
31.861,6375,469,3,25,College,Female,No,Yes,Urban,1120
77.38,7569,564,3,50,HS,Female,No,Yes,Urban,1197
19.531,5043,376,2,64,College,Female,Yes,Yes,Suburban,1241
44.646,4431,320,2,49,Some College,Male,Yes,Yes,Urban,797
44.522,2252,205,6,72,Some College,Male,No,Yes,Suburban,0
43.479,4569,354,4,49,Some College,Male,Yes,Yes,Rural,902
36.362,5183,376,3,49,Some College,Male,No,Yes,Rural,654
39.705,3969,301,2,27,Post Grad,Male,No,Yes,Rural,211
44.205,5441,394,1,32,HS,Male,No,Yes,Urban,807
16.304,5466,413,4,66,Some HS,Male,No,Yes,Suburban,957
15.333,1499,138,2,47,Some HS,Female,No,Yes,Suburban,0
32.916,1786,154,2,60,Some HS,Female,No,Yes,Suburban,0
57.1,4742,372,7,79,Post Grad,Female,No,Yes,Suburban,379
76.273,4779,367,4,65,Some College,Female,No,Yes,Urban,133
10.354,3480,281,2,70,Post Grad,Male,No,Yes,Urban,333
51.872,5294,390,4,81,Post Grad,Female,No,No,Urban,531
35.51,5198,364,2,35,Post Grad,Female,No,No,Suburban,631
21.238,3089,254,3,59,Some HS,Female,No,No,Urban,108
30.682,1671,160,2,77,Some HS,Female,No,No,Urban,0
14.132,2998,251,4,75,Post Grad,Male,No,No,Urban,133
32.164,2937,223,2,79,Some College,Female,No,Yes,Rural,0
12,4160,320,4,28,Some College,Female,No,Yes,Urban,602
113.829,9704,694,4,38,Some College,Female,No,Yes,Suburban,1388
11.187,5099,380,4,69,College,Female,No,No,Rural,889
27.847,5619,418,2,78,Some College,Female,No,Yes,Urban,822
49.502,6819,505,4,55,Some College,Male,No,Yes,Urban,1084
24.889,3954,318,4,75,HS,Male,No,Yes,Urban,557
58.781,7402,538,2,81,HS,Female,No,Yes,Suburban,1303
22.939,4923,355,1,47,Post Grad,Female,No,Yes,Suburban,663
23.989,4523,338,4,31,Some College,Male,No,No,Urban,601
16.103,5390,418,4,45,Some HS,Female,No,Yes,Urban,945
33.017,3180,224,2,28,College,Male,No,Yes,Rural,29
30.622,3293,251,1,68,College,Male,Yes,No,Urban,532
20.936,3254,253,1,30,Some College,Female,No,No,Suburban,145
110.968,6662,468,3,45,Some HS,Female,No,Yes,Urban,391
15.354,2101,171,2,65,Some College,Male,No,No,Suburban,0
27.369,3449,288,3,40,Some HS,Female,No,Yes,Urban,162
53.48,4263,317,1,83,Some College,Male,No,No,Urban,99
23.672,4433,344,3,63,Some HS,Male,No,No,Urban,503
19.225,1433,122,3,38,Some College,Female,No,No,Urban,0
43.54,2906,232,4,69,Some HS,Male,No,No,Urban,0
152.298,12066,828,4,41,HS,Female,No,Yes,Suburban,1979
55.367,6340,448,1,33,Some College,Male,No,Yes,Urban,815
11.741,2271,182,4,59,HS,Female,No,No,Suburban,200
15.56,4307,352,4,57,Some HS,Male,No,Yes,Rural,579
59.53,7518,543,3,52,Some HS,Female,No,No,Rural,1176
20.191,5767,431,4,42,College,Male,No,Yes,Rural,1023
48.498,6040,456,3,47,College,Male,No,Yes,Urban,812
30.733,2832,249,4,51,Some College,Male,No,No,Urban,0
16.479,5435,388,2,26,College,Male,No,No,Rural,937
