Index,Movie,Distributor,Genre,7-day Gross,14-day Gross,Total US Gross,International Gross,US DVD Sales,Budget
1,The Texas Chainsaw Massacre: The Beginning,New Line,Horror,22707121,32109139,39517763,11000000,15909367,16000000
2,Year of the Dog,Paramount Vantage,Drama,141803,318598,1540141,,,
3,War,Lionsgate,Action,12839402,,22466994,18200000,27040983,25000000
4,Stomp the Yard,Sony Pictures,Drama,28263594,42853277,61356221,15000000,33166898,14000000
5,The Illusionist,Freestyle Releasing,Drama,,,39868642,44407533,38189217,16500000
6,Pirates of the Caribbean: At World's End,Buena Vista,Adventure,173339068,232297818,309420425,651576067,295701718,300000000
7,Sicko,Weinstein Co.,Documentary,,,24538513,9000000,17375592,9000000
8,Babel,Paramount Vantage,Drama,,,34302837,101000000,31456221,20000000
9,Ghost Rider,Sony Pictures,Action,58960097,83257376,115802596,121900000,103699106,120000000
10,Saw III,Lionsgate,Horror,44576835,63279443,80238724,83638091,47124617,10000000
11,World Trade Center,Paramount Pictures,Drama,,,70278893,93000000,36856697,65000000
12,Beerfest,Warner Bros.,Comedy,10151951,15786241,19185184,974132,28372842,
13,Ocean's Thirteen,Warner Bros.,Adventure,50705336,79668309,117144465,194600000,47716836,85000000
14,Amazing Grace,Samuel Goldwyn Films,Drama,5200372,,21214987,6771432,25275167,
15,Shrek the Third,Paramount Pictures,Adventure,150338458,227906792,322719944,476238218,174342569,160000000
16,The Holiday,Sony Pictures,Romantic Comedy,17110339,30092962,63280000,141910324,71202459,85000000
17,Deck the Halls,20th Century Fox,Comedy,,,35093569,12137501,28291848,
18,The Namesake,Fox Searchlight,Drama,361518,1333480,13610521,6569588,9345626,
19,Déjà Vu,Buena Vista,Thriller/Suspense,,,64038616,117000000,40473916,80000000
20,Running With Scissors,Sony Pictures,Comedy,,3660628,6775659,437970,1877732,12000000
21,Ratatouille,Buena Vista,Comedy,80517305,124984886,206445654,418000000,189036784,150000000
22,The Hills Have Eyes II,Fox Searchlight,Horror,11883609,17579582,20804166,16662372,30466195,15000000
23,Fast Food Nation,Fox Searchlight,Drama,580363,853713,1005539,,,
24,Nancy Drew,Warner Bros.,Thriller/Suspense,11687594,19334739,25584685,5000000,10392745,
25,28 Weeks Later,20th Century Fox,Horror,13460756,21121250,28638916,35599524,24333111,
26,The Condemned,Lionsgate,Action,4947445,6769217,7371706,,,
27,Employee of the Month,Lionsgate,Comedy,14310416,21038727,28444855,9672863,21061839,10000000
28,Man of the Year,Universal,Comedy,15480880,24146540,37442180,,,
29,The Bourne Ultimatum,Universal,Action,98673300,144820320,227471070,214690492,123288965,130000000
30,All the King's Men,Sony Pictures,Drama,4686955,,7221458,2300000,,55000000
31,Turistas,20th Century Fox,Thriller/Suspense,4540030,6437413,7027762,7293308,3507046,10000000
32,I Now Pronounce You Chuck and Larry,Universal,Comedy,52547115,81169105,119725280,65983182,69258990,85000000
33,Fantastic Four: Rise of the Silver Surfer,20th Century Fox,Action,77453559,105800808,131921738,156293581,62251422,120000000
34,The Nativity Story,New Line,Drama,10239000,18373000,37629831,8802433,26111634,35000000
35,Thank You For Smoking,Fox Searchlight,Comedy,,,24793509,14438702,16644189,7500000
36,Casino Royale,MGM,Action,63267784,100763154,167365000,429000000,79665820,102000000
37,Miami Vice,Universal,Action,36056785,50564950,63478838,100339718,37640111,135000000
38,The Transformers,Paramount Pictures,Action,,228950080,319246193,389026399,290541120,151000000
39,Unaccompanied Minors,Warner Bros.,Comedy,6547915,,16655224,5293990,7035302,25000000
40,Hannibal Rising,Weinstein Co.,Thriller/Suspense,16662340,24157310,27669725,52913586,23317001,50000000
41,Pride,Lionsgate,Drama,4295317,,7057600,,,
42,The Ant Bully,Warner Bros.,Adventure,14260551,20610757,28142535,27038594,28487251,45000000
43,Surf's Up,Sony Pictures,Adventure,25370697,40612980,58867694,86528051,46067803,100000000
44,Material Girls,MGM,Comedy,6190228,,11449638,1000000,12117535,
45,Daddy Day Camp,Sony Pictures,Comedy,,,13235267,4962131,5394066,76000000
46,Pulse,Weinstein/Dimension,Horror,11176099,16228598,20264436,9507049,,7500000
47,Vacancy,Sony/Screen Gems,Thriller/Suspense,9667558,14985909,19063007,5300000,15476934,
48,TMNT,Weinstein Co.,Action,29268284,41781886,54149098,40860790,30361634,35000000
49,Invincible,Buena Vista,Drama,22640843,39870508,57806952,673876,48056452,
50,Flyboys,MGM,Drama,7595128,10794574,13090630,1725749,23600109,60000000
51,Mr. Brooks,MGM,Thriller/Suspense,13682301,20621219,28476219,17512793,29822828,
52,Sunshine,Fox Searchlight,Thriller/Suspense,362501,2235239,3688560,28342050,6319960,40000000
53,The Fountain,Warner Bros.,Drama,,,10144010,5317628,8742316,35000000
54,Clerks II,MGM,Comedy,,20987916,24148068,1746405,26390836,5000000
55,Pan's Labyrinth,PictureHouse,Horror,,,37634615,45600000,40752599,16000000
56,John Tucker Must Die,20th Century Fox,Comedy,22572760,32751462,41011711,27812815,32656099,
57,Little Man,Sony Pictures,Comedy,,,58636047,43000000,32683684,64000000
58,Hot Fuzz,Focus Features,Comedy,7724188,14090753,23618786,55578707,33365115,16000000
59,Norbit,Paramount Pictures,Comedy,42082178,64938373,95673607,63300000,44106290,
60,Superbad,Sony Pictures,Comedy,50572274,76834795,121463226,48400000,134374749,17500000
61,Spider-Man 3,Sony Pictures,Adventure,182070572,253357629,336530303,554341323,123997036,258000000
62,Next,Sony Pictures,Action,9066641,13000019,18211013,55380487,18978879,
63,Superman Returns,Warner Bros.,Adventure,,,200120000,191000000,81570819,232000000
64,X-Men: The Last Stand,20th Century Fox,Action,,,234362462,224997093,103539395,150000000
65,The Queen,Miramax,Drama,,,56441711,66398892,29155509,15000000
66,The Descent,Lionsgate,Thriller/Suspense,12927112,19882850,26024456,31005153,22436857,7000000
67,Perfect Stranger,Sony Pictures,Thriller/Suspense,13968118,19418295,23760822,38765566,23711660,
68,Freedom Writers,Paramount Pictures,Drama,11323827,21317621,36605602,6485139,20489423,21000000
69,The Ex,Weinstein Co.,Romantic Comedy,1944838,,3091922,646700,1827435,
70,Are We Done Yet?,Sony Pictures,Comedy,,,49662533,8725535,22928049,
71,Waitress,Fox Searchlight,Drama,,,19097550,3104630,23084465,1500000
72,Georgia Rule,Universal,Drama,9121575,14424970,18882880,1936721,19347243,20000000
73,Iraq in Fragments,Typecast Releasing,Documentary,,,204462,,,
74,Lady in the Water,Warner Bros.,Drama,,35922083,42285169,30500000,12428204,75000000
75,Once,Fox Searchlight,Drama,,,9445857,9551317,,150000
76,Disturbia,Paramount Pictures,Thriller/Suspense,27194364,43085763,80209692,37363351,34408161,20000000
77,Balls of Fury,Focus Features,Comedy,,,32886940,7991682,19013476,
78,Idiocracy,20th Century Fox,Comedy,234596,351327,444093,41106,,
79,Hot Rod,Paramount Pictures,Comedy,8792476,12534240,13938332,396069,23972256,25000000
80,Ice Age: The Meltdown,20th Century Fox,Adventure,,,195330621,456568661,131324982,75000000
81,The Covenant,Sony/Screen Gems,Thriller/Suspense,11013531,17004815,23364784,14800000,26301459,20000000
82,Barnyard: The Original Party Animals,Paramount Pictures,Comedy,24016098,38506651,72779000,43839084,64992667,51000000
83,Day Watch,Fox Searchlight,Action,68234,166581,459095,38411815,4060608,
84,How to Eat Fried Worms,New Line,Drama,5571313,,13040527,55787,16841759,
85,Everyone's Hero,20th Century Fox,Adventure,6844371,12125203,14523101,1596538,5943446,
86,The Marine,20th Century Fox,Action,8822674,13555127,18844784,3320824,26752947,15000000
87,School for Scoundrels,Weinstein Co.,Comedy,10554778,15065677,17807569,,,20000000
88,Black Christmas,Miramax/Dimension,Horror,,,16235738,,,9000000
89,The Devil Wears Prada,20th Century Fox,Comedy,,,124740460,201810634,95831660,35000000
90,The Nanny Diaries,Weinstein Co.,Comedy,10151376,,25926673,20064522,37541232,
91,Blood Diamond,Warner Bros.,Action,12119786,22002750,57377916,114000000,62525527,100000000
92,Reign Over Me,Sony Pictures,Drama,9630847,14896332,19661987,420000,15941535,20000000
93,The Black Dahlia,Universal,Thriller/Suspense,12820690,18613540,22672813,24000000,12345224,60000000
94,Reno 911!: Miami,20th Century Fox,Comedy,12662896,17729833,20342161,,,
95,Live Free or Die Hard,20th Century Fox,Action,,88674537,134529403,249002061,100735780,110000000
96,Trust the Man,Fox Searchlight,Comedy,255827,655122,1530535,1017843,,9000000
97,The Wicker Man,Warner Bros.,Thriller/Suspense,13371125,18628666,24413467,13308360,,
98,The Astronaut Farmer,Warner Bros.,Drama,5580399,8338517,11003643,,,13000000
99,Tenacious D in: The Pick of Destiny,New Line,Comedy,,,8334575,5100000,6035460,
100,Pirates of the Caribbean: Dead Man's Chest,Buena Vista,Adventure,,,423315812,642344000,320671450,225000000
101,Smokin' Aces,Universal,Comedy,18630955,27061120,35662731,20384530,35769990,17000000
102,License to Wed,Warner Bros.,Comedy,,31442050,43792641,27000000,22727928,35000000
103,Grindhouse,Weinstein/Dimension,Horror,15460828,21320000,25031037,25156752,31032170,53000000
104,Pathfinder,20th Century Fox,Adventure,6360568,8895535,10232081,20590780,27357887,
105,The Simpsons Movie,20th Century Fox,Comedy,102949705,141112342,183135014,343936008,96337909,72500000
106,Operation Homecoming,The Documentary Group,Documentary,6795,,6795,,,
107,The Omen,20th Century Fox,Horror,,,54607383,65000000,10459743,25000000
108,Catch and Release,Sony Pictures,Romantic Comedy,9311010,12646624,15432542,,,
