id,sqft_living,price
6865200140,1600,485000
3362400511,1260,570000
3362400431,1590,518500
2331300505,2320,822500
1994200024,1430,511000
3362900810,1360,532170
2264500350,1330,615000
9468200125,1030,480000
3797001895,1560,481000
9521101455,1470,548000
9550201550,1070,640000
2877103726,1510,791500
3363900111,990,437500
7821200390,1290,450000
625049299,950,482000
3454000060,2610,1000000
5694500105,1510,595000
6431500140,2870,880000
6865200444,1270,531000
3126049411,1100,340000
6431000270,960,565000
5693500270,2000,715000
4083305445,1340,650000
3362400640,2010,825000
510002519,1140,466000
7517500611,2020,720000
510002065,1980,700000
4310700570,920,280300
789000550,1480,415000
9178600560,970,690000
3797000295,880,492000
3797001920,700,310000
993001629,1120,265000
4310701600,1240,340000
6772200055,2440,780000
9468200140,1250,450000
8032700140,2920,830000
9473200105,2110,425000
9178601000,1760,715000
625049286,1530,640000
5694000710,1760,352950
9550200310,970,495000
6690500320,1710,650000
1972201820,2130,610000
1529300435,1610,440000
9521100960,2820,635000
9550202010,2980,775000
2883200966,1940,780000
9521101221,1690,487250
2264500890,1250,712000
4083306175,1080,805000
2402100575,3010,1125000
6430500186,1790,800000
1972202080,1950,725000
3856901525,1560,627500
993002325,950,430000
3856901715,1010,470450
4083800340,1380,462000
9178600135,2130,800000
9551202025,1740,800000
9521100106,1780,440000
1529300160,1260,405000
3047700105,3450,990000
1930301555,950,500000
993000046,1600,510000
4459800070,1420,679000
3126049094,2195,392450
3797000830,1680,425000
9178600055,1140,695000
3362900696,1500,415000
9465200181,2320,475000
2402100055,2500,670000
6690500070,1990,579000
1919800260,2340,645000
9136101776,1680,709000
5540800100,910,245000
5511600245,1350,350000
1646500785,1450,499000
1994200031,1430,450000
9521100586,1370,479000
4310702787,1430,335000
9136103130,1090,430000
9136103130,1090,685000
6431500283,1340,409500
3797002585,1240,660000
3362400590,2230,700000
4083801785,1070,660000
1931301105,1550,440000
9550200265,1240,625000
9136101335,1550,613000
9551201250,1640,750000
3797000300,880,405000
2331300025,1860,967000
9523103001,850,389000
1997200165,2170,802000
4083301645,1550,525000
1257201130,2700,1015000
2919201095,1270,540000
1257201295,1060,480000
4310702775,800,280000
4083303815,3160,695000
3126049436,1710,416000
9521100855,1290,440000
263000164,830,425000
263000291,1540,433500
9521101055,2530,720000
4459800100,980,390000
1997200215,3830,599999
9523104345,4080,825000
1257202120,1070,579100
9523100459,1380,552000
4083304535,2950,1045000
9482700475,2850,875000
2917200615,1200,486700
9551201295,1170,527500
2919201335,1980,912000
993000090,3810,752000
6046401105,1450,450000
4083304190,1820,680000
3362400615,1350,400000
993001332,1430,407000
9136102680,1610,626500
9521101015,3110,725000
4083302370,1860,775000
3362401295,1260,630000
3912000020,2290,745000
1930300190,1640,716100
3856901435,1760,720000
3226049478,1350,430000
1972200660,1120,465000
9136101271,1590,599000
6430500010,2200,547000
3362401815,1420,764000
6430000280,1880,453000
8021700715,2360,702500
8129700255,2160,798750
3362401611,3920,1165000
7821200307,970,515000
1972202005,1790,475000
6430500293,1010,395000
3797000680,1340,549000
510002995,1640,832600
9551201585,2630,1297000
3363900280,1210,678500
3797001815,820,532500
3856900507,3460,1315000
9136100420,2350,767500
9232900050,2120,300000
2264500425,1760,640000
4083802195,1060,578888
9521100280,1250,480000
9178601630,1580,720000
4083306345,2100,1000000
1923300170,2050,629000
2877100235,2400,650000
263000050,2160,730000
8032700010,1730,665000
263000280,1150,450000
5540800130,1180,447500
9551202130,2750,980000
1324300091,800,370000
1972201856,1550,526000
4083304835,990,620000
9523103000,2430,780000
9551201660,2750,1030000
6815100095,1310,510000
6430500233,1840,650000
6813600380,2090,700000
9136102057,2160,650000
9178601660,3320,1695000
9524100050,1255,360000
9550200225,1230,625000
3363400655,1980,549000
5694000768,1700,550000
6431500280,830,393000
1931300425,2170,539000
9482700080,1516,575575
3126049439,870,313000
993000950,1110,320000
9523102580,1960,599000
993001330,1410,406100
2708100130,1070,550000
263000359,1370,355000
4083306720,1790,560000
6865200095,2110,725000
9523102750,2420,870000
9521100585,1830,499950
5694001061,1890,587206
6813600415,1060,515000
7834800225,2010,875000
4310700020,1100,280000
993000873,1270,380500
4083800555,980,550000
625049313,1140,460000
6749700031,1210,345000
2883201055,1670,875000
1529300115,1170,455000
9129100040,3320,1000000
9522100485,2000,585000
1931300035,2180,785000
4310700665,2200,450000
510001280,2190,980000
6749700110,1260,342000
9522100375,1720,775000
6430500291,1260,565000
510002506,1170,459500
1257202215,1760,810000
6046400755,2020,475000
4310701577,1410,382000
1972201965,1420,510000
263000329,1420,349950
263000040,1530,452000
1994200375,1660,601150
9521100880,1780,588000
3797000745,1370,500000
9178600360,1990,760500
3363900155,1220,470000
2306400040,1560,604000
4310701565,1410,425000
917000300,1210,452000
6430500008,1100,428750
2883200961,1910,700000
625049274,1590,720000
8021700495,1560,503045
9468200100,1140,569950
6431000015,2310,700000
4083301380,1620,842000
2402100205,920,412133
8129700644,2080,715000
8129700644,2080,780000
6046401030,1980,432500
1257201095,1060,826000
625049310,890,587750
4310701575,1410,429000
1931300688,1280,533000
4083302485,2170,913000
9287800375,2210,685000
1257202430,2650,1008000
4310702876,1780,398500
1931300665,1910,850000
2919200665,2145,734000
2919201385,680,275000
993000100,3810,760000
2917200085,1160,350000
7821200375,960,432000
263000324,3440,550000
3975400045,3300,920000
2883200875,1960,680200
3797000400,1880,616500
6865200831,820,475000
91000320,980,393000
263000327,1460,400000
3975400260,2490,749500
1923800135,2080,495000
9178600810,1490,578500
1972202010,1440,435000
1994200012,1850,580000
6690500060,1370,530000
4083300510,1390,657100
1972200751,1260,485000
510003230,1430,720001
5694500200,3310,829000
1529300135,750,338000
1172000135,1940,446000
8129700565,1840,601450
1814800060,3290,965000
3362401000,2500,695000
789000520,1480,402500
2886200070,1810,550000
8032700070,1870,770000
9530101670,1080,525000
9521100465,1240,645000
4083302625,1280,738000
1972200696,1460,521000
993002127,1480,436000
91000135,2060,750000
510002010,1800,875000
3626039250,940,283000
6046400465,1480,397500
4459800075,2140,710000
6815100370,2390,845000
9287800135,3070,1105000
3047700045,2110,525000
1997200060,720,270000
6430500238,1500,651500
4083306620,1720,565000
5694501195,720,438600
6430000070,1420,355000
4083305085,2880,1125000
1972202505,1540,543000
1923300135,1820,365000
6431000196,830,519000
1972201550,1540,565000
4083304355,1530,675000
1994200260,2750,869900
9550200370,1680,700000
9266700295,1340,397000
4083300070,2350,870300
1931300955,830,525000
9445300045,2030,831000
9530101535,1870,680000
9523102447,1760,688500
9232900075,890,314963
8021700030,1420,371000
9523100550,2040,857500
4310702440,1480,355000
6749700117,1190,350000
1257201375,1650,550000
9523102420,920,535000
9551200270,3350,1000000
9482700075,2370,800000
9468200163,1780,680000
993001342,1430,397500
1172000150,530,238000
4083801395,1970,780000
9136103026,1380,539000
3126049107,1640,577500
263000325,1430,349000
3626039279,960,395000
3126049261,940,259250
9521101065,1220,580000
3362401935,1290,549000
2331300395,2520,875000
9266701115,1000,488000
9521101520,940,543000
2877104196,1780,760000
993002247,1550,430000
7517500610,1920,781000
625049318,1820,605000
6813600365,1760,527950
3126049052,2040,551000
1257201010,1510,698000
9482700455,2540,696500
3797000205,1460,444000
3126049154,2400,570000
1930301540,710,390000
3797002160,990,409950
9136103027,1440,445000
1931300815,980,550000
8129700085,2280,597000
3797000330,1800,471001
